index,car_year,brand,model,sub_model,sub_model_name,car_type,transmission,model_year_start,model_year_end,color,mile,date,webid,cost,ttb_bluebook_id,
752,2017,Mazda,2,1.5,XD Sports,Hatchback,AT,15,25,white,132500,2023-10-25,mazda-2-xd-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12700842?auc=true,349000,168,
729,2014,Mazda,3,2,SP Sports,Hatchback,AT,14,18,red,167500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12765035,356900,461,
1407,2021,Mazda,CX-30,2,SP,SUV,AT,20,25,black,67607,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12150443?auc=true,799999,1028,
261,2020,Mazda,2,1.3,S,Sedan,AT,15,25,gray,17500,2023-10-25,mazda-2-s-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12561219?auc=true,375000,82,
2021,2016,Mazda,CX-5,2,C,SUV,AT,13,16,white,132500,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11676453,469000,1097,
638,2021,Mazda,3,2,Sports 100th Anniversary Edition,Hatchback,AT,19,24,white,40000,2023-10-25,mazda-3-sports-100th-anniversary-edition-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12604478,838000,357,
1925,2012,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9,14,gray,117848,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12728850?auc=true,248000,290,
1081,2019,Mazda,2,1.3,High Connect,Sedan,AT,15,25,black,7500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12629956?auc=true,389000,98,
1237,2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,14,21,black,77500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11839115?auc=true,329900,715,
1797,2018,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,sky,95367,2023-10-25,mazda-2-sports-high-connect-ภาคตะวันออก-อำเภอบางละมุง/12782771,389000,122,
2049,2012,Mazda,BT-50 PRO,3.2,DOUBLE CAB R 4WD,Pickup,AT,14,21,black,142500,2023-10-25,mazda-bt-50-pro-r-ภาคใต้-อำเภอเมืองสงขลา/12319293,378000,937,
1406,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,22,blue,50352,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11950592?auc=true,359999,101,
1609,2016,Mazda,2,1.3,High Connect,Sedan,AT,15,22,white,42500,2023-10-25,mazda-2-high-connect-ภาคอีสาน-อำเภอเมืองขอนแก่น/9242941?auc=true,388000,177,
969,2018,Mazda,CX-5,2,S,SUV,AT,17,23,gray,2500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11272958?auc=true,568000,1077,
10,2019,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,14,21,brown,111092,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12290745?carsome=true,335900,715,
1182,2017,Mazda,3,2,S Sports,Hatchback,AT,14,18,red,105372,2023-10-25,mazda-3-s-sports-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12507675?auc=true,498000,413,
1423,2015,Mazda,CX-5,2.5,S,SUV,AT,13,16,silver,272500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12167479,449000,1108,
1073,2020,Mazda,CX-30,2,SP,SUV,AT,20,25,gray,37500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12305287,839000,1032,
1066,2018,Mazda,2,1.3,High Connect,Sedan,AT,15,25,gray,82500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/11886469,370000,116,
1546,2014,Mazda,3,1.6,Spirit,Sedan,AT,11,14,black,98000,2023-10-25,mazda-3-spirit-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/10545195,319000,443,
1613,2018,Mazda,3,2,S,Sedan,AT,14,18,white,2500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/8613141,459000,390,
216,2015,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,13,16,gray,135644,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11694412?auc=true,458000,1107,
1336,2015,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15,25,gray,157500,2023-10-25,mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-ปิ่นเกล้า-ถนนบรมราชชนนี/12202816?auc=true,368000,119,
1821,2012,Mazda,2,1.5,Sports Groove,Hatchback,AT,9,14,red,112500,2023-10-25,mazda-2-sports-groove-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12800706,198000,282,
512,2019,Mazda,3,2,S,Sedan,AT,14,18,white,97500,2023-10-25,mazda-3-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11698666?auc=true,539000,375,
824,2020,Mazda,2,1.3,SP,Sedan,AT,15,25,gray,67500,2023-10-25,mazda-2-sp-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12686687,463900,80,
220,2018,Mazda,2,1.3,High Connect,Sedan,AT,15,25,gray,67500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12538177?carsome=true,393900,116,
707,2012,Mazda,2,1.5,Elegance Groove,Sedan,AT,9,14,white,2500,2023-10-25,mazda-2-elegance-groove-ภาคเหนือ-อำเภอเมืองเชียงใหม่/11928111,195000,279,
816,2021,Mazda,2,1.3,SP Sports,Hatchback,AT,15,25,gray,27500,2023-10-25,mazda-2-sp-sports-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12644999?auc=true,409000,58,
175,2019,Mazda,CX-3,2,E,SUV,AT,15,22,white,2500,2023-10-25,mazda-cx-3-e-กรุงเทพและปริมณฑล-อ่อนนุช/12561841,568000,983,
312,2020,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15,22,red,72500,2023-10-25,mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/10896865?auc=true,399000,103,
1825,2020,Mazda,2,1.3,S,Sedan,AT,15,25,black,55893,2023-10-25,mazda-2-s-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12228030?auc=true,468000,82,
166,2019,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,red,47843,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12715242?carsome=true,421900,103,
1270,2020,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,silver,2500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12431772?auc=true,429000,103,
2059,2022,Mazda,2,1.3,C,Sedan,AT,15,25,red,22500,2023-10-25,mazda-2-c-ภาคตะวันออก-อำเภอวังสมบูรณ์/12518599,439000,3,
1134,2017,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17,23,black,152500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12588740,499000,1093,
2076,2018,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17,23,black,142500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12483735?auc=true,695000,1081,
677,2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,white,137500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12747340?auc=true,329000,152,
1314,2018,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,13,16,white,142500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/12415365?auc=true,577000,1081,
653,2016,Mazda,3,2,C Sports,Hatchback,AT,14,18,red,2500,2023-10-25,mazda-3-c-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/9272003?auc=true,369000,417,
1248,2013,Mazda,BT-50 PRO,2.2,FREE STYLE CAB V,Pickup,MT,14,21,white,2500,2023-10-25,mazda-bt-50-pro-v-กรุงเทพและปริมณฑล-กาญจนาภิเษก/7120700,229000,927,
38,2018,Mazda,3,2,E,Sedan,AT,14,18,gray,140058,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12162865?carsome=true,371900,387,
914,2020,Mazda,BT-50 PRO,2.2,DOUBLE CAB THUNDER Hi-Racer,Pickup,MT,14,21,white,10000,2023-10-25,mazda-bt-50-pro-thunder-hi-racer-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11857881,548000,698,
509,2022,Mazda,2,1.3,S Leather,Sedan,AT,15,25,black,37500,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12460888?auc=true,459000,30,
413,2019,Mazda,3,2,SP Sports,Hatchback,AT,19,24,gray,2500,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12310843,819000,988,
832,2018,Mazda,CX-5,2.2,XD,SUV,AT,17,23,red,2500,2023-10-25,mazda-cx-5-xd-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12781587,699000,1083,
668,2016,Mazda,3,2,E Sports,Hatchback,AT,14,18,silver,132500,2023-10-25,mazda-3-e-sports-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12524504,358000,420,
968,2019,Mazda,CX-3,2,S,SUV,AT,15,22,white,102500,2023-10-25,mazda-cx-3-s-กรุงเทพและปริมณฑล-รัชดาฯ-ห้วยขวาง-ลาดพร้าว-เพชรบุรีตัดใหม่/12517334?carsome=true,575900,984,
2045,2011,Mazda,2,1.5,Spirit Sports,Hatchback,AT,9,14,gray,162500,2023-10-25,mazda-2-spirit-sports-กรุงเทพและปริมณฑล-ปิ่นเกล้า-ถนนบรมราชชนนี/12272304,209000,320,
472,2012,Mazda,2,1.5,Groove,Sedan,AT,9,14,brown,82500,2023-10-25,mazda-2-groove-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12583647?auc=true,174000,279,
1693,2010,Mazda,2,1.5,Groove,Sedan,AT,9,14,sky,187500,2023-10-25,mazda-2-groove-กรุงเทพและปริมณฑล-นนทบุรี-รัตนาธิเบศร์/12851045?auc=true,159000,322,
1895,2017,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17,23,black,102500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12752670?auc=true,549000,1093,
155,2019,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,MT,14,21,white,2500,2023-10-25,mazda-bt-50-pro-hi-racer-กรุงเทพและปริมณฑล-สุขุมวิท/11927618?auc=true,399000,708,
139,2015,Mazda,2,1.5,XD Sport High Plus L,Hatchback,AT,15,25,white,72500,2023-10-25,mazda-2-xd-sport-high-plus-l-กรุงเทพและปริมณฑล-อำเภอบางพลี/12710342,298000,218,
142,2021,Mazda,CX-30,2,SP,SUV,AT,20,25,black,60000,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12755847,798000,1028,
1944,2013,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9,14,white,117500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12715186?auc=true,239000,267,
1421,2018,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17,23,gray,162500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-อำเภอปากเกร็ด/11555114?auc=true,797001,1081,
1060,2018,Mazda,CX-5,2,S,SUV,AT,17,23,gray,147500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-อ่อนนุช/12445872?auc=true,599999,1078,
1749,2021,Mazda,CX-30,2,,SUV,AT,20,25,black,57500,2023-10-25,mazda-cx-30-ภาคใต้-อำเภอถลาง/12830210,879000,1027,
594,2016,Mazda,2,1.3,Sports High Plus,Hatchback,AT,15,25,brown,80000,2023-10-25,mazda-2-sports-high-plus-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12833350,326000,181,
1029,2016,Mazda,CX-5,2.5,S,SUV,AT,13,16,white,110000,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-อ่อนนุช/12196169,499000,1104,
1114,2011,Mazda,3,2,Maxx,Sedan,AT,11,14,white,2500,2023-10-25,mazda-3-maxx-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12638814,235000,491,
1067,2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,black,92500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/11679179,345000,152,
1458,2020,Mazda,CX-5,2,S,SUV,AT,17,23,white,102500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/11540792?auc=true,729000,1059,
1991,2020,Mazda,2,1.3,S Leather,Sedan,AT,15,25,white,25088,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12603163,475000,77,
1130,2018,Mazda,2,1.3,High Connect,Sedan,AT,15,25,red,2500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12349492,359000,116,
451,2021,Mazda,CX-30,2,SP,SUV,AT,20,25,red,47500,2023-10-25,mazda-cx-30-sp-ภาคตะวันออก-อำเภอเมืองระยอง/12204559,855000,1028,
1453,2016,Mazda,CX-5,2.5,S,SUV,AT,13,16,black,2500,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11080158?auc=true,498000,1104,
1132,2019,Mazda,CX-5,2,C,SUV,AT,17,23,white,82500,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/12346342,699000,1065,
1879,2017,Mazda,2,1.3,Sports High Connect,Hatchback,AT,15,25,blue,72500,2023-10-25,mazda-2-sports-high-connect-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/12765505,349000,152,
242,2017,Mazda,2,1.3,High Plus,Sedan,AT,15,25,black,172500,2023-10-25,mazda-2-high-plus-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12848003,397900,149,
600,2018,Mazda,CX-5,2,C,SUV,AT,17,23,silver,102500,2023-10-25,mazda-cx-5-c-กรุงเทพและปริมณฑล-สุขาภิบาล1-2-3/11261893?auc=true,659000,1076,
1779,2013,Mazda,3,1.6,Spirit Sports,Hatchback,AT,11,14,white,167500,2023-10-25,mazda-3-spirit-sports-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/12814828,219000,470,
2001,2011,Mazda,2,1.5,Groove,Sedan,AT,9,14,gray,192500,2023-10-25,mazda-2-groove-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12656369,179000,302,
1576,2018,Mazda,BT-50 PRO,2.2,FREE STYLE CAB Hi-Racer,Pickup,MT,14,21,white,82500,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคตะวันออก-อำเภอศรีราชา/10786303?auc=true,418000,729,
754,2018,Mazda,3,2,E,Sedan,AT,14,18,gray,132500,2023-10-25,mazda-3-e-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/12755425?auc=true,404000,387,
1735,2006,Mazda,3,2,R Sport,Hatchback,AT,5,10,white,242500,2023-10-25,mazda-3-r-sport-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12640144,167000,-1,
2031,2017,Mazda,2,1.3,High Connect,Sedan,AT,15,25,black,122500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/12572869?auc=true,309000,146,
2160,2012,Mazda,BT-50 PRO,2.2,DOUBLE CAB Hi-Racer,Pickup,AT,14,21,white,170112,2023-10-25,mazda-bt-50-pro-hi-racer-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12049576,378000,933,
115,2011,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9,14,white,2500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11225895?auc=true,159000,301,
1220,2017,Mazda,3,2,S,Sedan,AT,14,18,gray,85512,2023-10-25,mazda-3-s-ภาคใต้-อำเภอหาดใหญ่/12507329,429000,409,
1412,2018,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,17,23,white,2500,2023-10-25,mazda-cx-5-xdl-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12121429,699000,1081,
965,2021,Mazda,2,1.3,S Leather,Sedan,AT,15,25,white,47500,2023-10-25,mazda-2-s-leather-กรุงเทพและปริมณฑล-อำเภอบางกรวย/12471821,419000,52,
1085,2018,Mazda,3,2,SP,Sedan,AT,14,18,black,132500,2023-10-25,mazda-3-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11986795,598000,393,
119,2017,Mazda,2,1.5,XD High Connect,Sedan,AT,15,25,brown,82500,2023-10-25,mazda-2-xd-high-connect-กรุงเทพและปริมณฑล-บางใหญ่-บางบัวทอง/12709724,417900,163,
1062,2016,Mazda,CX-3,2,C,SUV,AT,15,22,white,17500,2023-10-25,mazda-cx-3-c-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12422418,399000,1008,
922,2021,Mazda,2,1.3,S Sports,Hatchback,AT,15,25,gray,55126,2023-10-25,mazda-2-s-sports-ภาคตะวันออก-อำเภอเมืองระยอง/12752491,459000,63,
2002,2016,Mazda,2,1.5,XD High Plus,Sedan,AT,15,25,red,142500,2023-10-25,mazda-2-xd-high-plus-กรุงเทพและปริมณฑล-อำเภอบางบัวทอง/12656287,349000,187,
482,2019,Mazda,2,1.3,High Connect,Sedan,AT,15,25,gray,97500,2023-10-25,mazda-2-high-connect-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12718955,418900,98,
639,2020,Mazda,2,1.3,S Sports,Hatchback,AT,15,22,red,82500,2023-10-25,mazda-2-s-sports-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11677776?auc=true,449000,83,
345,2022,Mazda,CX-30,2,SP,SUV,AT,20,25,black,10000,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/12695177,888000,1024,
1199,2019,Mazda,2,1.3,Standard,Sedan,AT,15,25,gray,43060,2023-10-25,mazda-2-standard-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12587351?auc=true,389000,105,
545,2021,Mazda,CX-30,2,SP,SUV,AT,20,25,blue,32500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-อ่อนนุช/12762286,829000,1028,
19,2018,Mazda,2,1.3,High Plus,Sedan,AT,15,25,gray,72500,2023-10-25,mazda-2-high-plus-ภาคเหนือ-อำเภอพาน/12494069,349000,121,
834,2019,Mazda,CX-3,2,C,SUV,AT,15,22,gray,112500,2023-10-25,mazda-cx-3-c-ภาคตะวันออก-อำเภอพานทอง/12529775,490000,982,
999,2011,Mazda,2,1.5,Groove,Sedan,AT,9,14,white,147500,2023-10-25,mazda-2-groove-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11831267,179000,302,
87,2017,Mazda,2,1.5,XD High Plus L,Sedan,AT,15,25,black,77500,2023-10-25,mazda-2-xd-high-plus-l-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12456699,456900,166,
344,2017,Mazda,CX-5,2,S,SUV,AT,13,16,black,100000,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-ศรีนครินทร์-เทพารักษ์/11857995,548000,1100,
436,2021,Mazda,CX-30,2,SP,SUV,AT,20,25,gray,27500,2023-10-25,mazda-cx-30-sp-กรุงเทพและปริมณฑล-พหลโยธิน-บางซื่อ-จตุจักร/12757133,880900,1028,
1946,2013,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9,14,white,117500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12715168?auc=true,239000,267,
1022,2012,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9,14,white,162500,2023-10-25,mazda-2-elegance-spirit-ภาคอีสาน-อำเภอเมืองอุดรธานี/12736025,199000,291,
526,2021,Mazda,CX-8,2.2,XDL Exclusive 4WD,SUV,AT,19,25,black,82500,2023-10-25,mazda-cx-8-xdl-exclusive-กรุงเทพและปริมณฑล-กาญจนาภิเษก/12229697,1249000,1137,
2053,2016,Mazda,CX-3,2,SP,SUV,AT,15,22,red,107334,2023-10-25,mazda-cx-3-sp-ภาคเหนือ-อำเภอเมืองเชียงใหม่/12532409?auc=true,489000,1011,
1715,2015,Mazda,CX-5,2.5,S,SUV,AT,13,16,white,93985,2023-10-25,mazda-cx-5-s-กรุงเทพและปริมณฑล-หลักสี่-สะพานใหม่-แจ้งวัฒนะ/12846767?auc=true,429000,1104,
1308,2011,Mazda,3,1.6,Spirit,Hatchback,AT,5,10,white,222500,2023-10-25,mazda-3-spirit-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11783802,189000,486,
1094,2020,Mazda,3,2,SP Sports,Hatchback,AT,19,24,gray,111939,2023-10-25,mazda-3-sp-sports-กรุงเทพและปริมณฑล-อ่อนนุช/12400163?auc=true,698000,358,
1302,2017,Mazda,CX-3,1.5,XDL,SUV,AT,15,22,brown,112500,2023-10-25,mazda-cx-3-xdl-กรุงเทพและปริมณฑล-ท่าพระ-วงเวียนใหญ่-พระราม2/12394472?auc=true,499000,998,
1952,2016,Mazda,CX-5,2.2,XDL 4WD,SUV,AT,13,16,black,132500,2023-10-25,mazda-cx-5-xdl-ภาคใต้-อำเภอหาดใหญ่/12543182,519000,1102,
295,2014,Mazda,2,1.5,Elegance Spirit,Sedan,AT,9,14,white,102500,2023-10-25,mazda-2-elegance-spirit-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/12376631,219000,238,
1977,2021,Mazda,2,1.3,SP Sports,Hatchback,AT,15,25,gray,47500,2023-10-25,mazda-2-sp-sports-ภาคใต้-อำเภอเมืองภูเก็ต/9746140,449000,58,